Código;Nombre;Patente
9;Int 009;NBB632
13;Int 013;LIS165
14;Int 014;NBB634
17;int 017;LVP021
100;int 100;KBM076
101;int 101;KBM074
103;int 103;LDE512
104;int 104;LIS167
138;int 138;KGM598
139;int 139;KWZ418
149;int 149;LQU835
202;int 202;MDX892
203;int 203;MDX893
204;int 204;KMG142
205;int 205;PDY805
206;int 206;PDY807
212;Int 212;PDY812
213;Int 213;PDY811
214;int 214;PDY808
215;Int 215;AA710NW
216;int 216;AG955HU
315;int 315;AB538WW
316;int 316;ODS841
317;int 317;ODS842
318;INT 318;AA043SI
319;INT 319;AA043RJ
321;int 321;AE856RF
322;int 322;AE549TJ
323;int 323;AE549TE
324;int 324;AI147ZT
325;int 325;AI147ZG
526;int 526;Trt567
593;int 593;JQJ161
595;Int 595;JZC357
596;int 596;JZC356
597;int 597;JZC358
598;int 598;int 598
599;Int 599;KBM077
603;int 603;LOZ569
604;int 604;LPY221
605;int 605;MRX547
606;int 606;MRX541
607;int 607;NUQ445
608;int 608;NUQ422
609;int 609;NUQ420
610;int 610;NUQ419
611;int 611;NUQ421
612;int 612;NUE038
613;int 613;MVC560
614;int 614;MUS089
615;int 615;NCO634
616;int 616;NCO632
617;int 617;NCO633
618;int 618;NCO631
619;int 619;NGB999
621;int 621;NKL982
622;Int 622;NUE039
623;int 623;NUE036
624;int 624;OHO493
625;Int 625;OQO806
626;int 626;OQO804
627;int 627;OQO807
628;int 628;OOW721
629;int 629;OOW714
630;int 630;OOW716
631;int 631;OOW715
632;int 632;OOW723
633;int 633;OUY822
634;int 634;OUY823
635;int 635;OUY825
636;int 636;OVG420
637;int 637;OUY824
638;int 638;OWA959
639;int 639;OYE294
640;int 640;PDY816
641;int 641;PDY815
642;int 642;PDY817
643;int 643;PJM125
644;int 644;PJM126
645;int 645;PJM127
646;int 646;PJM129
647;int 647;PJM130
648;int 648;PJM131
649;int 649;PJF032
650;int 650;PJF031
651;int 651;PJF033
652;int 652;PJM136
653;int 653;PJM144
654;int 654;PNH398
655;int 655;PNH397
656;int 656;PNH407
657;int 657;PNH409
658;int 658;PNH392
659;int 659;PNH395
660;int 660;PNH394
661;int 661;PNH396
662;int 662;PNN847
663;int 663;PNN844
664;int 664;PNN848
666;int 666;PMK899
667;int 667;PNN842
668;int 668;PNN849
669;int 669;PNN845
670;int 670;PNN841
671;int 671;PNN846
672;int 672;POM554
673;int 673;POM551
674;int 674;POM552
675;int 675;POM553
676;int 676;AA296RX
677;int 677;AA296RY
678;int 678;NUR003
679;int 679;NTB635
680;int 680;AA299RO
682;Int 682;IAU311
683;int 683;AA317CI
684;int 684;AA317CH
685;int 685;AA320VG
686;int 686;AA356GH
687;int 687;AA356GB
688;int 688;AA356GG
689;int 689;AA320WI
690;int 690;AA320VC
691;int 691;AA514SF
692;int 692;AA514SG
693;int 693;AA514SB
694;int 694;AA931DP
696;int 696;AA990IO
697;int 697;AB135JS
698;int 698;AB135JR
699;int 699;AB135JT
700;int 700;AB135JU
701;int 701;AB484OS
702;int 702;AB649UX
703;int 703;AB649UY
704;int 704;AB462YT
705;int 705;AB462YS
706;int 706;AB462YP
707;int 707;AB462YN
708;int 708;AB462YU
709;int 709;AB462YW
710;int 710;AB462YQ
711;int 711;AB814JX
712;int 712;AB814JY
715;int 715;AB881DH
716;int 716;LOZ551
717;int 717;KQF198
718;int 718;JNQ956
719;int 719;JNQ959
720;int 720;JWY552
721;int 721;KUT697
722;Int 722;KIP498
723;Int 723;KUT700
724;int 724;JWN248
725;int 725;AD668HJ
726;int 726;AD668HM
727;int 727;AD668HL
728;int 728;AD668HH
729;int 729;AF391RM
730;int 730;AF391RO
731;int 731;AF680WS
732;int 732;AF680WW
733;int 733;AF874BU
734;int 734;AG217BP
735;int 735;AG238PD
736;int 736;AG238PE
737;int 737;AG238PQ
738;int 738;AG238PO
739;int 739;AF363XJ
740;int 740;AF240OT
741;int 741;AF317JM
742;int 742;AG404SQ
743;int 743;AF240OL
744;int 744;AF723RH
745;int 745;AF458XL
746;int 746;AF458XM
747;int 747;AG393IQ
748;int 748;AG393IX
749;int 749;AG467AD
750;int 750;AG631NL
751;int 751;AG631MZ
752;int 752;AH084AK
753;int 753;AH084AL
754;int 754;AH296XB
755;int 755;AH296XC
756;int 756;AH296XA
757;int 757;AH296RZ
758;int 758;AH436II
759;int 759;AH436IH
760;int 760;AH436IG
761;int 761;AH436IJ
762;int 762;AH538OP
763;int 763;AH739KM
764;int 764;AI062UC
765;int 765;AI062UA
766;int 766;AF747CV
767;int 767;AI062UD
768;int 768;AH819QX
786;int 786;AB881DX
801;int 801;MTD556
802;int 802;MRG837
803;int 803;PER442
804;int 804;AA931DM
1008;int 1008;KGJ293
1009;int 1009;MSB585
1012;int 1012;AC830RN
1013;int 1013;AA782GF
1014;int 1014;AA477KZ
1015;int 1015;AF521UX
1016;int 1016;PMI277
1017;int 1017;AF788RJ
1018;int 1018;AG399FN
1019;int 1019;AG399FO
1020;int 1020;AD088AD
1021;Int 1021;AD378IN
1022;int 1022;AI071NZ
